Wall time,Step,Value
1716459294.332137,43,0.009994602762162685
1716459409.6017754,95,0.009988074190914631
1716459573.0365973,168,0.009978909976780415
1716459708.5852995,230,0.009971125051379204
1716459720.0360034,235,0.009970497339963913
1716459763.6342373,256,0.009967860765755177
1716459801.3758776,274,0.009965600445866585
1716459880.2102203,309,0.0099612046033144
1716459884.0921462,311,0.009960954077541828
1716459902.52359,319,0.009959949180483818
1716460249.622397,475,0.009940356947481632
1716460386.1612113,537,0.009932569228112698
1716460482.5072768,580,0.009927167557179928
1716460497.5114012,587,0.009926287457346916
1716460605.066377,635,0.009920257143676281
1716460633.0131116,648,0.00991862453520298
1716460778.86272,715,0.00991020631045103
1716460850.3080225,723,0.009909200482070446
1716461030.8544893,803,0.009899148717522621
1716461044.4788768,809,0.009898394346237183
1716461104.192166,837,0.009894875809550285
1716461497.3691413,1015,0.009872503578662872
1716461615.845688,1067,0.009865966625511646
1716461698.277605,1105,0.009861189872026443
1716461867.20966,1181,0.009851634502410889
1716462047.3616252,1262,0.009841449558734894
1716462168.5959058,1317,0.0098345335572958
1716462175.1746485,1320,0.00983415637165308
1716462206.6821966,1334,0.009832395240664482
1716462215.8754306,1338,0.00983189232647419
1716462319.640372,1386,0.009825855493545532
1716462334.9756193,1393,0.00982497539371252
1716462483.0920093,1437,0.009819441474974155
1716462739.6567333,1553,0.00980484951287508
1716463046.011957,1692,0.009787362068891525
1716463142.26562,1735,0.009781952016055584
1716463148.3240874,1738,0.00978157389909029
1716463385.0033064,1845,0.0097681088373065
1716463456.6919992,1878,0.009763956069946289
1716463546.0685146,1918,0.009758921340107918
1716463614.8083713,1948,0.009755145758390427
1716463813.6797986,2037,0.009743942879140377
1716463945.6228585,2097,0.009736388921737671
1716464229.1956327,2200,0.009723421186208725
1716464369.3056738,2263,0.00971548818051815
1716464468.6643853,2308,0.009709821082651615
1716464649.3279018,2390,0.009699493646621704
1716464754.8638706,2437,0.009693574160337448
1716464793.5258873,2454,0.009691433049738407
1716464798.692579,2456,0.009691180661320686
1716464871.6343956,2486,0.009687401354312897
1716464873.2573242,2487,0.009687275625765324
1716464899.4419546,2499,0.009685764089226723
1716464909.5044043,2504,0.009685134515166283
1716464974.6965814,2533,0.009681480936706066
1716465308.8739169,2686,0.009662204422056675
1716465429.216516,2741,0.009655274450778961
1716465983.3609247,2968,0.009626664221286774
1716466139.3592863,3039,0.009617714211344719
1716466418.3412828,3162,0.009602206759154797
1716466571.7170732,3231,0.009593506343662739
1716466605.7410774,3247,0.009591488167643547
1716466607.6697056,3248,0.009591362439095974
1716466737.895257,3306,0.009584047831594944
1716467118.0277135,3481,0.009561974555253983
1716467476.902986,3619,0.00954456441104412
1716467481.2612996,3621,0.0095443120226264
1716467595.023269,3671,0.00953800231218338
1716467747.5581222,3742,0.00952904298901558
1716467910.4277327,3815,0.009519830346107483
1716467925.3455548,3822,0.009518946520984173
1716468154.9329715,3929,0.0095054404810071
1716468215.9259014,3957,0.009501906111836433
1716468396.0792983,4037,0.009491806849837303
1716468531.2990937,4099,0.00948397908359766
1716468750.4545856,4197,0.00947160366922617
1716468829.6268492,4233,0.009467057883739471
1716469062.0448942,4318,0.009456322528421879
1716469245.0160637,4401,0.009445838630199432
1716469452.448613,4493,0.009434215724468231
1716469490.753932,4510,0.009432068094611168
1716469827.926833,4665,0.009412483312189579
1716469839.1735399,4669,0.009411977604031563
1716469858.2496476,4677,0.009410967119038105
1716470109.2468774,4789,0.009396811947226524
1716470139.8395624,4803,0.009395042434334755
1716470343.0787444,4895,0.009383413009345531
1716470518.9617474,4972,0.00937367882579565
1716470875.0584364,5107,0.009356608614325523
1716470939.077811,5135,0.00935306865721941
1716471409.7729802,5346,0.009326380677521229
1716471442.481637,5360,0.009324610233306885
1716471574.6930244,5421,0.009316893294453621
1716471859.0156024,5550,0.00930057093501091
1716472151.31523,5680,0.009284120053052902
1716472243.9700878,5724,0.009278550744056702
1716472488.3632042,5809,0.009267791174352169
1716472615.9207544,5865,0.009260701946914196
1716472631.1301885,5872,0.009259816259145737
1716472707.7916691,5908,0.009255258366465569
1716472895.2561176,5991,0.009244749322533607
1716473366.0758126,6201,0.009218154475092888
1716473407.3437998,6220,0.009215747006237507
1716473557.6699362,6290,0.009206879884004593
1716473752.0449924,6377,0.009195858612656593
1716474112.4792385,6521,0.009177612140774727
1716474230.2257586,6575,0.009170768782496452
1716474295.6447597,6604,0.009167092852294445
1716474509.722832,6700,0.009154925122857094
1716474537.3272448,6712,0.009153403341770172
1716474855.9278738,6855,0.009135274216532707
1716475107.875902,6967,0.009121072478592396
1716475439.2927406,7115,0.009102302603423595
1716475528.2372274,7156,0.009097102098166943
1716476086.6563973,7383,0.009068301878869534
1716476257.992743,7461,0.00905840378254652
1716476264.1293297,7464,0.009058022871613503
1716476299.4719129,7479,0.009056119248270988
1716476372.71952,7512,0.009051931090652943
1716476984.3764753,7789,0.009016766212880611
1716477006.6909978,7799,0.00901549682021141
1716477089.4039428,7834,0.009011052548885345
1716477484.5099878,7992,0.00899098627269268
1716477649.250422,8067,0.008981459774076939
1716477906.809052,8181,0.008966976776719093
1716477998.588675,8222,0.008961767889559269
1716478312.633216,8364,0.00894372258335352
1716478324.3488488,8369,0.008943087421357632
1716478344.4573374,8378,0.008941943757236004
1716478616.2581866,8499,0.008926563896238804
1716478635.6017962,8509,0.008925292640924454
1716478839.4887414,8602,0.00891346950083971
1716479506.9182007,8879,0.008878245018422604
1716479572.8271084,8908,0.008874556049704552
1716479622.966641,8929,0.008871885016560555
1716479638.2077184,8936,0.008870994672179222
1716479768.3865309,8994,0.008863616734743118
1716480351.271315,9261,0.008829642087221146
1716480793.8452404,9436,0.008807366713881493
1716480868.5068765,9469,0.008803165517747402
1716481060.945445,9555,0.008792215958237648
